Tittel,Opphav,Målgruppe,Type,Fase,Årstid,Dager,Tid,Beskrivelse,Verdi for brukerne,Verdi for organisasjonene,Hva må være på plass,Hvor starter vi,ImageURL,pdfURL
Projeksjonsrommet,Ungdomsworkshop,Alle,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Projeksjonsrommet er en fleksibel black box dedikert til digitale, omsluttende opplevelser. Ved hjelp av 360-graders projeksjon og bevegelsessensorer forvandles rommet totalt, slik at publikum kan tre fysisk inn i alt fra historiske epoker til abstrakte kunstverk. Her er man ikke lenger bare en tilskuer, men en deltaker i et levende univers som reagerer på tilstedeværelse. Rommet fungerer som et dynamisk lerret for både museal formidling og scenekunst, og gir mulighet til å utforske perspektiver som ellers er utilgjengelige – fra insektenes mikroverden til det ytre rom.",Gir en sanselig og oppslukende totalopplevelse som gjør komplekst innhold umiddelbart tilgjengelig og engasjerende.,"Muliggjør rask og kostnadseffektiv utskifting av innhold, samtidig som det tiltrekker nye målgrupper gjennom spektakulær teknologi.","Et egnet mørklagt lokale utstyrt med høykvalitets projektorer, sensorer for interaksjon og driftssikker maskinvare.",Etabler et samarbeid med digitale innholdsprodusenter for å teste en enkel pilotinstallasjon i et eksisterende rom.,projeksjonsrommet.png,projeksjonsrommet.pdf
Levende foajé,Speed-dating,Alle,Tjeneste,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Levende foajé er et strukturert programkonsept som transformerer inngangspartiet fra en passiv ventesone til en aktiv kulturarena. Gjennom en synlig og dynamisk dagsplan tilbys en kontinuerlig strøm av lavterskel-aktiviteter, som minikonserter, pop-up teater, åpne øvelser eller korte kurator-prater. Dette sikrer at det «alltid skjer noe», uavhengig av når publikum kommer. Konseptet fjerner følelsen av tomme lokaler på dagtid, og gir besøkende en umiddelbar smakebit på husets innhold, noe som skaper en pulserende atmosfære i fellesområdene.","Sikrer at ethvert besøk oppleves innholdsrikt og levende, selv uten billett til en hovedforestilling.",Synliggjør bredden i husets tilbud og øker både oppholdstiden og trivselen i publikumsarealene.,"En dedikert programkoordinator, fleksible riggmuligheter i foajéen og digitale informasjonstavler.",Test konseptet ved å kuratere et tett program med «smaksprøver» i foajéen en utvalgt lørdag.,levendefoajé.png,levendefoaje.pdf
Barnepark(ering),Samtale med Nye i Norge,Nye i Norge / Foreldre,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Barnepark(ering)» er et tilrettelagt tilbud med kvalifisert bemanning der barn kan leke trygt mens foreldrene bruker husets øvrige fasiliteter. Tjenesten fjerner en av de største barrierene for kulturbruk – barnevaktkabalen – og gjør det mulig for voksne å oppleve en utstilling, se en forestilling eller delta på sosiale arrangementer på egen hånd. For målgrupper som er nye i Norge, fungerer dette også som et viktig friminutt for språktrening og nettverksbygging med andre voksne, vel vitende om at barna er i trygge hender rett i nærheten.","Gir foreldre sårt tiltrengt egentid til kulturopplevelser eller sosialt samvær, uten praktisk stress rundt barnevakt.",Øker besøksfrekvensen betraktelig hos småbarnsforeldre og inkluderer målgrupper som ellers ofte er bundet til hjemmet.,"Et fysisk sikret areal, kvalifisert personell med barnefaglig kompetanse og et trygt system for inn- og utsjekk.",Pilotér løsningen i et avgrenset rom under utvalgte dagforestillinger eller språkkafeer i helgene.,barneparkering.png,barneparkering.pdf
Mcdonalds(?!),Ungdomsworkshop,Ungdom,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Ønsket om Mcdonalds kan sees på som ungdommens behov for en trygg, rimelig og uformell møteplass i det nye bygget. Konseptet handler om å tilby mat og drikke som målgruppen liker og har råd til, servert i omgivelser som inviterer til å «henge» uten kjøpepress. Ved å etablere en sone med kjapp mat, god wifi og komfortable sitteplasser, signaliserer institusjonene at ungdom er velkomne på egne premisser. Dette fungerer som en ufarlig inngang til huset, der skillet mellom «høykultur» og ungdomskultur viskes ut, og terskelen for hverdagsbruk senkes betraktelig.",Tilbyr et forutsigbart og rimelig sosialt fristed der ungdom kan være seg selv uten kulturelle krav.,Tiltrekker en vanskelig målgruppe ved å fjerne økonomiske barrierer og ufarliggjøre institusjonen.,"En meny tilpasset unges betalingsvilje, samt robuste og uformelle sittegrupper skjermet fra hovedstrømmen.",Involver ungdomsrådet i utformingen av en rimelig «ungdomsmeny» som testes ut i dagens kafé.,mcdonalds.png,mcdonalds.pdf
Mittloungen,Ungdomsworkshop,Ungdom,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Mittloungen er en dedikert frisone plassert i skjæringspunktet mellom museet og teateret, designet spesifikt for ungdom. Dette er et kravløst «tredje sted» mellom skole og hjem, der det er rom for både sosialt samvær, lek og avslapning. Området er innredet med komfortable møbler som saccosekker og sofaer, og tilbyr fasiliteter som spill og automater. Her er det ingen kjøpeplikt eller krav om stillhet. Sonen gir ungdom en naturlig tilhørighet til kulturhuset på deres egne premisser, og fungerer som en trygg base som gradvis ufarliggjør terskelen inn til de etablerte kunstarenaene.",Tilbyr et gratis og uforpliktende fristed i sentrum der man kan være sosial sammen med venner.,Skaper en tidlig relasjon til en viktig målgruppe og gjør huset til en relevant del av ungdomskulturen.,"Robust og komfortabelt interiør, god wifi-dekning, lademuligheter og tilgang på enkel mat og drikke.",Involver en ungdomsgruppe i valg av møbler og utforming av sonen for å sikre reelt eierskap.,mittloungen.png,mittloungen.pdf
Felles programlansering,Styret,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Felles programlansering markerer starten på kultursesongen ved å samle teaterets og museets høydepunkter i én stor begivenhet. I stedet for separate slipp, inviteres publikum, presse og partnere til en felles presentasjon der repertoar og utstillinger lanseres side om side. Dette synliggjør synergiene i det nye bygget og demonstrerer hvordan de to institusjonene utfyller hverandre tematisk og kunstnerisk. Lanseringen fungerer som en feiring av fellesskapet, og gir publikum en komplett og inspirerende oversikt over hva de kan forvente av opplevelser i tiden som kommer.",Gir en praktisk totaloversikt over kulturtilbudet og gjør det enklere å planlegge sesongens opplevelser.,Maksimerer medieoppmerksomheten og forsterker posisjonen som et samlet og koordinert kulturkraftsentrum.,Synkroniserte årshjul for produksjon og en omforent kommunikasjonsstrategi for felles markedsføring.,Gjennomfør neste sesongslipp som et felles arrangement for presse og publikum for å teste samarbeidsformen.,fellesprogramlansering.png,fellesprogramlansering.pdf
Bakgårdsfestival,Kultursjefen,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Bakgårdsfestivalen er et utadrettet arrangement som bygger bro mellom dagens situasjon og fremtidens nybygg. Her inviteres befolkningen til en uformell sammenkomst der planene for det nye teatret og museet presenteres i øyehøyde. Gjennom visning av modeller, presentasjoner og lavterskel-aktiviteter skapes det engasjement og eierskap til prosjektet lenge før dørene åpner. Festivalen fungerer som en åpen dialogarena der publikum kan stille spørsmål og komme med innspill, noe som bidrar til å aktivere området og skape forventning i lokalmiljøet.",Gir tidlig innsikt i prosessen og en følelse av medvirkning gjennom direkte dialog med aktørene bak bygget.,"Sikrer lokal forankring og entusiasme rundt byggeprosjektet, samtidig som det demper usikkerhet gjennom åpenhet.","Tilgjengelig uteareal, oppdaterte fysiske modeller av bygget og formidlere som kan svare på spørsmål.",Arranger en pilotversjon i forbindelse med en eksisterende byfestival eller sesongåpning for å teste formatet.,bakgardsfestival.png,bakgardsfestival.pdf
Temamiddag,Intervju med seniorer,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Temamiddag er et helaftens konsept der gastronomi møter scenekunst og museumsformidling. Rundt langbordet samles publikum til en kuratert matopplevelse som tematisk speiler aktuelle utstillinger eller forestillinger. Kvelden vever sammen måltidet med faglige innlegg, kunstneriske smakebiter og samtaler, noe som gir en dypere forståelse av innholdet. Dette fungerer som en sosial arena for fordypning, hvor skillet mellom scene, utstilling og publikum viskes ut. Konseptet kan også benyttes strategisk for å informere om byggeprosessen i en hyggelig ramme.","Gir en unik totalopplevelse der sosialt samvær, matkultur og faglig fordypning smelter sammen.",Bygger sterke relasjoner til publikum og demonstrerer verdien av samlokaliseringen i praksis.,"Et egnet lokale for bespisning, cateringavtale og et koordinert faglig program fra begge institusjoner.",Arranger en pilotmiddag knyttet til en aktuell produksjon med begrenset antall plasser for å teste formatet.,temamiddag.png,temamiddag.pdf
Pop-up!,Styret,Alle,Arrangement,Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Pop-up!» er et mobilt formidlingskonsept som tar kulturen ut av institusjonene og direkte til folket mens byggeprosessen pågår. Ved hjelp av fleksible rigger, som ombygde containere eller telt, etableres midlertidige arenaer ved byggeplassen eller rundt om i byen. Her møtes teaterkunst og museumsformidling side om side, og tilbyr publikum smakebiter på fremtidens innhold. Konseptet sikrer at organisasjonene forblir synlige og relevante i overgangsfasen, og fungerer som en levende reklameplakat. Det skaper nysgjerrighet og viser at aktiviteten lever i beste velgående, selv mens det bygges.",Gir uventede og lavterskel kulturopplevelser i bybildet som senker barrieren for kontakt med institusjonene.,"Opprettholder synlighet og publikumsrelasjoner gjennom byggeperioden, og bygger forventning til det ferdige bygget.","Mobilt utstyr som tåler vær og vind, samt en riggplan for effektiv forflytning og bemanning.",Etabler en enkel pilot-stasjon ved byggegjerdet med smakebiter fra begge institusjoner en travel lørdag.,pop-up.png,pop-up.pdf
Besøksshow,Styret,Alle / Ansatte RT/SM,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Besøksshow» er et utvekslingskonsept som tjuvstarter samlokaliseringen ved at institusjonene gjester hverandres nåværende lokaler. Her flytter museet deler av samlingen inn i teaterets foajé, mens skuespillere inntar museumshallene med pop-up teater og improvisasjon. Dette bryter ned de etablerte skillene mellom byggene, og gir publikum en konkret forsmak på synergiene i det nye kulturkvartalet. Gjennom slike gjestespill blir organisasjonene bedre kjent med hverandres kultur og arbeidsmåter, samtidig som publikum eksponeres for nye kunstuttrykk på tvers av vante arenaer.",Gir en overraskende merverdi til besøket og introduserer publikum for naboinstitusjonen på en lavterskel måte.,Fremmer intern kulturbygging på tvers av fagfelt og driver effektiv kryssmarkedsføring mot hverandres publikumsgrupper.,"Vilje til å åpne egne arealer for ekstern aktivitet, samt enkle tekniske løsninger for mobile visninger.",Arranger en enkel «takeover» der museet viser frem utvalgte gjenstander i teaterfoajéen før en forestilling.,besoksshow.png,besoksshow.pdf
Ambulerende kultur,Styret,Målgruppe- og lokasjonsspesifikt,"Fasilitet, Arrangement",Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Ambulerende kultur» er et oppsøkende konsept som flytter teateret og museet ut fra sentrum og inn i folks hverdagsliv – enten det er på kjøpesenteret, den lokale kaffebaren eller ved en turisthytte. Gjennom mobile utstillingsmontre eller kompakte pop-up-forestillinger får publikum uventede kulturmøter der de allerede ferdes. Tiltaket fungerer som strategiske «satellitter» som sprer kunnskap om det nye bygget til hele regionen. Ved å plassere historiske gjenstander eller scenekunst i nye og hverdagslige kontekster, vekkes nysgjerrighet hos målgrupper som kanskje sjeldent oppsøker institusjonene til vanlig.",Gir publikum en uventet og berikende kulturpause på steder der de allerede oppholder seg.,"Øker synligheten i hele regionen og rekrutterer nye publikumsgrupper gjennom aktiv, lokal tilstedeværelse.","Sikre og transportable utstillingsmontre, samt avtaler med lokale arenaer som kjøpesentre og kafeer.",Plasser en utvalgt museumsgjenstand med en engasjerende historie på et populært samlingssted for å teste responsen.,ambulerendekultur.png,ambulerendekultur.pdf
